Date; time; Left actuator; Right actuator
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:55; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:56; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:57; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:58; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:54:59; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:00; 0; 0
11.25.2015; 16:55:01; 0; 0
11.25.2015; 16:55:01; 0; 0
11.25.2015; 16:55:01; 0; 0
11.25.2015; 16:55:01; 0; 0
